"lap.distance";"r";"vmax";"slope";"vmin";"vdop"
3301;94,6993701961872;400;0;0;191,883076721939
3321;56,1294486856119;400;0;0;147,726536712149
3341;47,2661543589058;400;0;0;135,562092100788
3361;295,085025619266;400;0;0;338,716781339175
3381;149,238680246501;400;0;0;240,881711385152
3401;145,48139959258;400;0;0;237,830124588108
3421;145,247541288496;400;0;0;237,63889423444
3441;148,246807739956;400;0;0;240,079900969021
3461;195,705436641829;400;0;0;275,84465513463
3481;419,786970077936;400;0;0;403,996502418402
3501;498,771630244377;400;0;0;440,366222409274
3521;499,296340251116;400;0;0;440,597795148403
3541;499,821050257855;400;0;0;440,829246239691
3561;500;400;0;0;Inf
3581;444,628740067699;400;0;0;415,778371417179
3601;258,704228671689;400;0;0;317,150128657632
3621;172,148475906822;400;0;0;258,710895465522
3641;127,1654605822;400;0;0;222,355416112042
3661;121,392522803414;400;0;0;217,249655617604
3681;136,939328676334;400;0;0;230,742304290649
3701;156,507680058222;400;0;0;246,67830469386
3721;178,430145918266;400;0;0;263,388763490438
3741;199,840072876429;400;0;0;278,743287514436
3761;359,217155715194;400;0;0;373,715975229943
3781;500;400;0;0;Inf
3801;221,77091347862;400;0;0;293,640138878334
3821;100,936152070071;400;0;0;198,100923584025
3841;62,2248680243376;400;0;0;155,541083601287
3861;79,7299934361868;400;0;0;176,065389693686
3881;191,654792834957;400;0;0;272,975060132297
3901;500;400;0;0;Inf
3921;57,9136161622915;400;0;0;150,056036079522
3941;83,8386182480751;400;0;0;180,544882992711
3961;372,588115576822;400;0;0;380,607749968742
3981;498,442980571245;400;0;0;440,22111585668
4001;177,097457477354;400;0;0;262,403299268883
4021;96,3281311105759;400;0;0;193,526167160392
4041;63,571100490909;400;0;0;157,214642673211
4061;61,1778845138833;400;0;0;154,226980450886
4081;50,9047421462141;400;0;0;140,683203497959
4101;37,4943115974104;400;0;0;120,738512286152
4121;56,76847735081;400;0;0;148,565083360778
4141;85,2645805834458;400;0;0;182,073800781012
4161;500;400;0;0;Inf
4181;117,591402099755;400;0;0;213,821273816206
4201;54,7520622011427;400;0;0;145,902713421664
4221;56,7654779129978;400;0;0;148,561158492298
4241;40,6026389238426;400;0;0;125,643567338682
4261;40,7803589115793;400;0;0;125,91824150941
4281;53,2431843848647;400;0;0;143,878247448443
4301;49,7457581384164;400;0;0;139,072465873789
4321;66,4832759388029;400;0;0;160,775301850149
4341;90,1394132038957;400;0;0;187,20631360527
4361;108,732638395502;400;0;0;205,609459432613
4381;145,822595104951;400;0;0;238,10885110975
4401;220,01386992883;400;0;0;292,474601680777
4421;370,904453515261;400;0;0;379,746825565051
4441;498,138493720984;400;0;0;440,086635060324
4461;500;400;0;0;Inf
4481;369,654662803673;400;0;0;379,10649281972
4501;224,409284744908;400;0;0;295,381668200348
4521;219,513044359969;400;0;0;292,141526742016
4541;481,420663152851;400;0;0;432,638826082251
4561;493,795097726672;400;0;0;438,163820957562
4581;340,276780278295;400;0;0;363,730136464111
4601;207,799244910509;400;0;0;284,2399451541
4621;232,614386697509;400;0;0;300,733226544709
4641;263,169003945438;400;0;0;319,875145539609
4661;300,008220961711;400;0;0;341,530666719569
4681;341,993783532366;400;0;0;364,646655047573
4701;388,670820390667;400;0;0;388,735404829418
4721;455,221111675341;400;0;0;420,701756853204
4741;500;400;0;0;Inf
4761;500;400;0;0;Inf
4781;500;400;0;0;Inf
4801;500;400;0;0;Inf
4821;500;400;0;0;Inf
4841;500;400;0;0;Inf
4861;500;400;0;0;Inf
4881;500;400;0;0;Inf
4901;500;400;0;0;Inf
4921;500;400;0;0;Inf
4941;500;400;0;0;Inf
4961;500;400;0;0;Inf
4981;500;400;0;0;Inf
5001;500;400;0;0;Inf
5021;500;400;0;0;Inf
5041;500;400;0;0;Inf
