"lap.distance";"r";"vmax";"slope";"vmin";"vdop"
1;500;400;0;0;Inf
2;500;400;0;0;Inf
3;500;400;0;0;Inf
4;500;400;0;0;Inf
5;500;400;0;0;Inf
6;500;400;0;0;Inf
7;500;400;0;0;Inf
8;500;400;0;0;Inf
9;500;400;0;0;Inf
10;500;400;0;0;Inf
11;500;400;0;0;Inf
12;500;400;0;0;Inf
13;500;400;0;0;Inf
14;500;400;0;0;Inf
15;500;400;0;0;Inf
16;500;400;0;0;Inf
17;500;400;0;0;Inf
18;500;400;0;0;Inf
19;500;400;0;0;Inf
20;500;400;0;0;Inf
21;500;400;0;0;Inf
22;500;400;0;0;Inf
23;500;400;0;0;Inf
24;500;400;0;0;Inf
25;500;400;0;0;Inf
26;500;400;0;0;Inf
27;485,550975088542;400;0;0;434,490758376315
28;462,672756007768;400;0;0;424,131073532487
29;444,743056204529;400;0;0;415,831817267896
30;428,294481181561;400;0;0;408,069717429989
31;412,71070964424;400;0;0;400,57698874209
32;398,081567212676;400;0;0;393,413412750873
33;390,273248774621;400;0;0;389,535927898278
34;383,538693343291;400;0;0;386,160386331731
35;370,881162393882;400;0;0;379,734902186698
36;359,101210480173;400;0;0;373,655657838459
37;347,796841967978;400;0;0;367,727361175572
38;337,04908765487;400;0;0;362,000946518394
39;326,801485593532;400;0;0;356,455351480049
40;317,174343098556;400;0;0;351,16575088798
41;308,069485355742;400;0;0;346,088739929967
42;299,175746122202;400;0;0;341,056491057291
43;290,929552608394;400;0;0;336,323371257698
44;283,070511357814;400;0;0;331,749626700495
45;275,379637486858;400;0;0;327,2118626439
46;268,087383655424;400;0;0;322,850390684646
47;261,167234275411;400;0;0;318,656273571194
48;254,528723197966;400;0;0;314,580303864322
49;250,720837767365;400;0;0;312,218291783091
50;247,478782299913;400;0;0;310,193085929081
51;241,74385870826;400;0;0;306,577905703871
52;235,919525673573;400;0;0;302,862198997969
53;230,175162265927;400;0;0;299,152307510727
54;224,988014471754;400;0;0;295,762303254857
55;219,72870607362;400;0;0;292,284999480684
56;214,709740029992;400;0;0;288,927580759714
57;209,906419149162;400;0;0;285,67746807404
58;205,352427283545;400;0;0;282,561539718063
59;200,855588713706;400;0;0;279,45062693057
60;196,488573997237;400;0;0;276,396015836202
61;192,395257286172;400;0;0;273,501875739205
62;188,392640392553;400;0;0;270,641937963473
63;184,515813888283;400;0;0;267,842768130417
64;180,794660666587;400;0;0;265,128203077623
65;177,218811359159;400;0;0;262,493188209601
66;175,187306268784;400;0;0;260,984337992346
67;173,441056286845;400;0;0;259,680347127628
68;170,237946069286;400;0;0;257,271283729332
69;166,954501226069;400;0;0;254,778158555037
70;163,773143038209;400;0;0;252,339053682254
71;160,786701789006;400;0;0;250,027737772363
72;157,961400901061;400;0;0;247,82129180184
73;155,059588719897;400;0;0;245,534453986189
74;152,39144426164;400;0;0;243,412804776013
75;149,800192258952;400;0;0;241,33444584286
76;147,137374859551;400;0;0;239,179872366789
77;144,778015443632;400;0;0;237,254488691962
78;142,3821229358;400;0;0;235,283168538336
79;140,014214282327;400;0;0;233,318508723523
80;137,78267521466;400;0;0;231,451731735712
81;135,710076053536;400;0;0;229,704326405958
82;134,518099959904;400;0;0;228,693325797695
83;133,519752720721;400;0;0;227,843103599421
84;131,579661490538;400;0;0;226,18172425623
85;129,570573155925;400;0;0;224,448298819625
86;127,823673017065;400;0;0;222,930132707615
87;125,846027741749;400;0;0;221,198859820732
88;124,16126821878;400;0;0;219,713224643993
89;122,57874707281;400;0;0;218,3085359346
90;120,905524972486;400;0;0;216,813440794851
91;119,410509442053;400;0;0;215,4688053317
92;117,893928880354;400;0;0;214,096145571754
93;116,520325033757;400;0;0;212,845254523385
94;115,133963337498;400;0;0;211,575246533282
95;113,769848386124;400;0;0;210,318132961771
96;112,531379958226;400;0;0;209,17026683484
97;111,456055463048;400;0;0;208,168475913221
98;110,244635770852;400;0;0;207,034089916872
99;109,630146307708;400;0;0;206,456292915563
100;109,13268806138;400;0;0;205,987351840506
101;109,823635308277;400;0;0;206,63840254865
102;110,57216942402;400;0;0;207,341408001535
103;111,359665397506;400;0;0;208,078441715018
104;112,309435715575;400;0;0;208,963893068194
105;113,126210970087;400;0;0;209,722366058487
106;114,053731370327;400;0;0;210,580366503583
107;114,886023109836;400;0;0;211,347310806417
108;115,898888359605;400;0;0;212,276913003309
109;116,779605996127;400;0;0;213,081934502421
110;117,659902235826;400;0;0;213,883543053899
111;118,671565749123;400;0;0;214,801081848437
112;119,662709349336;400;0;0;215,696224804751
113;120,6676396659;400;0;0;216,600042248615
114;121,657606311833;400;0;0;217,486729098676
115;122,363127556144;400;0;0;218,11644594993
116;122,996195588779;400;0;0;218,679950715463
117;123,966962918895;400;0;0;219,541238000669
118;124,973614894978;400;0;0;220,430808806681
119;126,212070400079;400;0;0;221,520321802652
120;127,232691444979;400;0;0;222,41418667389
121;128,446380664891;400;0;0;223,472487797737
122;129,515370445363;400;0;0;224,400481347873
123;130,680198376515;400;0;0;225,407322704452
124;131,78236004481;400;0;0;226,35587375949
125;133,027721033893;400;0;0;227,422905482226
126;134,283116675524;400;0;0;228,493491731042
127;135,392903382606;400;0;0;229,43574445835
128;136,542193225526;400;0;0;230,407475412766
129;137,808329290798;400;0;0;231,473278000425
130;139,049759142715;400;0;0;232,513540153445
131;140,307760208885;400;0;0;233,562961895105
132;141,039372256468;400;0;0;234,17110823779
133;141,660337377747;400;0;0;234,686043838291
134;143,1184057839;400;0;0;235,890729298081
135;144,382233040927;400;0;0;236,929973212155
136;145,617836701988;400;0;0;237,941620801685
137;146,883972767259;400;0;0;238,973824114505
138;148,20042278035;400;0;0;240,042338717569
139;149,617261989431;400;0;0;241,187046628733
140;150,869186113357;400;0;0;242,194012231668
141;152,207123237329;400;0;0;243,265553489748
142;153,610191212871;400;0;0;244,384210503797
143;154,858551018618;400;0;0;245,375232319887
144;156,2498110378;400;0;0;246,475001838922
145;157,609616500316;400;0;0;247,545185562804
146;159,020740913006;400;0;0;248,650887927183
147;160,342905722488;400;0;0;249,68244180339
148;161,195113121396;400;0;0;250,3450818003
149;161,943015864151;400;0;0;250,925177230149
150;163,160047361504;400;0;0;251,866286775648
151;164,658751632174;400;0;0;253,020399641193
152;165,91286853317;400;0;0;253,982131823671
153;167,38839589161;400;0;0;255,109012625305
154;168,672834076027;400;0;0;256,085918958383
155;170,126620175204;400;0;0;257,187149609228
156;171,379764511677;400;0;0;258,132625683272
157;172,711511112028;400;0;0;259,133624835444
158;174,123099435548;400;0;0;260,190432300154
159;175,488256401628;400;0;0;261,208411214021
160;176,852838620817;400;0;0;262,222012149578
161;178,268294174664;400;0;0;263,26927806926
162;179,596300261205;400;0;0;264,248068188883
163;180,85226390826;400;0;0;265,170436149152
164;182,118399973533;400;0;0;266,097038521119
165;182,951713877968;400;0;0;266,705129976448
166;183,699616620724;400;0;0;267,249716449125
167;184,903316611301;400;0;0;268,123869691741
168;186,168501011507;400;0;0;269,039612684218
169;187,42456011477;400;0;0;269,945677818006
170;188,661771319448;400;0;0;270,835183624656
171;189,983246236634;400;0;0;271,782056318667
172;191,346149113685;400;0;0;272,755170025062
173;192,420842238806;400;0;0;273,520060438805
174;193,686978304078;400;0;0;274,418470888214
175;194,93737552894;400;0;0;275,30283617437
176;196,186409222166;400;0;0;276,183409902873
177;197,306740746193;400;0;0;276,970866341787
178;198,45667689994;400;0;0;277,776809648856
179;199,711621837437;400;0;0;278,653689317754
180;200,767336464298;400;0;0;279,389227453957
181;201,376914807795;400;0;0;279,813052728551
182;201,881282196433;400;0;0;280,163242624676
183;203,04912620978;400;0;0;280,972419056324
184;204,075019968361;400;0;0;281,681323065089
185;205,082019344475;400;0;0;282,375440010515
186;206,072820884685;400;0;0;283,05673063887
187;207,079569637113;400;0;0;283,747311308688
188;208,077916876296;400;0;0;284,430473194248
189;209,004797016298;400;0;0;285,063265048194
190;209,85423305148;400;0;0;285,641953869552
191;210,746419979538;400;0;0;286,24850757348
192;211,614952435135;400;0;0;286,837747702042
193;212,481503298906;400;0;0;287,424439605637
194;213,231123816257;400;0;0;287,931000310423
195;213,989414097107;400;0;0;288,442514551782
196;214,733165252536;400;0;0;288,943341591714
197;215,298565111851;400;0;0;289,323490431537
198;215,697161399696;400;0;0;289,59118831933
199;216,071112771074;400;0;0;289,842109855338
200;216,799598944558;400;0;0;290,330301673188
201;217,817753197602;400;0;0;291,011241094271
202;219,052926983166;400;0;0;291,835189809342
203;220,319063048438;400;0;0;292,677385038941
204;221,577408936687;400;0;0;293,512004174589
205;222,816629967876;400;0;0;294,331625435511
206;224,15038897176;400;0;0;295,211231548226
207;225,54917818114;400;0;0;296,130917799589
208;226,921789654375;400;0;0;297,030624376715
209;228,294071175292;400;0;0;297,927398661072
210;229,681755197229;400;0;0;298,831501720757
211;231,202603230523;400;0;0;299,819232431856
212;232,693554346333;400;0;0;300,78439775004
213;234,198655669871;400;0;0;301,755592035087
214;235,110926200344;400;0;0;302,342732849152
215;235,8588289431;400;0;0;302,82323671257
216;237,516485937148;400;0;0;303,885520767876
217;239,054948223922;400;0;0;304,868108974128
218;240,777795634736;400;0;0;305,964715192431
219;242,5445741377;400;0;0;307,08521687756
220;244,272651398045;400;0;0;308,177232876733
221;246,043154851955;400;0;0;309,292060367608
222;247,874296810245;400;0;0;310,44085845749
223;249,774145578657;400;0;0;311,62828466136
224;251,646940125412;400;0;0;312,794389848604
225;253,528992738629;400;0;0;313,961896377218
226;255,409424662885;400;0;0;315,124077640744
227;257,433851009005;400;0;0;316,370481038135
228;259,581080175673;400;0;0;317,687147949522
229;261,664052154648;400;0;0;318,959219145218
230;263,877914380623;400;0;0;320,305686979152
231;265,102684136005;400;0;0;321,048163975561
232;266,101031375187;400;0;0;321,652111758454
233;268,228323353471;400;0;0;322,935244468345
234;270,501314688592;400;0;0;324,300649322391
235;272,795437777031;400;0;0;325,672943622447
236;275,232404827088;400;0;0;327,124378481292
237;277,560918197862;400;0;0;328,505228261787
238;280,072535997322;400;0;0;329,988184630539
239;282,553283970031;400;0;0;331,446401108155
240;285,082904566042;400;0;0;332,926768667341
241;287,580714237287;400;0;0;334,382089375997
242;290,200053436624;400;0;0;335,901445034342
243;292,941113079747;400;0;0;337,484080758494
244;295,693308201652;400;0;0;339,065713732312
245;298,476024828623;400;0;0;340,657420957431
246;301,204092726089;400;0;0;342,210682550828
247;302,998257028076;400;0;0;343,228382177984
248;304,514837589775;400;0;0;344,086281119873
249;307,321660215092;400;0;0;345,668427096875
250;310,356370967496;400;0;0;347,370921396945
251;313,383620297869;400;0;0;349,060956813866
252;316,372951558788;400;0;0;350,721832177663
253;319,662271272417;400;0;0;352,54033963607
254;322,925804096456;400;0;0;354,335367459561
255;326,224205106062;400;0;0;356,140380952844
256;329,645963262522;400;0;0;358,003282829178
257;332,980513490477;400;0;0;359,809426843013
258;336,521520398297;400;0;0;361,717523947704
259;340,140082342601;400;0;0;363,657069249043
260;343,88689766483;400;0;0;365,654517013103
261;347,682736248699;400;0;0;367,667033949869
262;351,404888174745;400;0;0;369,629842575435
263;355,359147725931;400;0;0;371,703694676071
264;357,759346731458;400;0;0;372,956879557397
265;359,756041209825;400;0;0;373,996188245789
266;363,613646926929;400;0;0;375,995991900432
267;367,670444754295;400;0;0;378,087647140805
268;371,91084746093;400;0;0;380,261669765452
269;376,180001512673;400;0;0;382,437948676811
270;380,635524709069;400;0;0;384,696103446456
271;385,185266394168;400;0;0;386,988412712904
272;389,776005712073;400;0;0;389,287696981107
273;394,500244068679;400;0;0;391,639751422021
274;399,414607384429;400;0;0;394,07156628088
275;404,404621767652;400;0;0;396,525556481878
276;409,402317271626;400;0;0;398,968195418141
277;414,613164309075;400;0;0;401,499188396899
278;419,830010690999;400;0;0;404,017212698494
279;425,27520301373;400;0;0;406,628822062256
280;428,656845571245;400;0;0;408,242307408358
281;431,401442792368;400;0;0;409,54716573024
282;436,849141309484;400;0;0;412,12491570048
283;442,52267198373;400;0;0;414,792496155938
284;448,584005612076;400;0;0;417,623588153226
285;454,666756388429;400;0;0;420,445519519261
286;460,886724494196;400;0;0;423,311656446339
287;467,460892525417;400;0;0;426,320061707026
288;474,056295703184;400;0;0;429,317001491203
289;480,764550330583;400;0;0;432,343910756854
290;487,695884381846;400;0;0;435,449376905814
291;495,608367769931;400;0;0;438,967576694395
292;500;400;0;0;Inf
293;500;400;0;0;Inf
294;500;400;0;0;Inf
295;500;400;0;0;Inf
296;500;400;0;0;Inf
297;500;400;0;0;Inf
298;500;400;0;0;Inf
299;500;400;0;0;Inf
300;500;400;0;0;Inf
301;500;400;0;0;Inf
302;500;400;0;0;Inf
303;500;400;0;0;Inf
304;500;400;0;0;Inf
305;500;400;0;0;Inf
306;500;400;0;0;Inf
307;500;400;0;0;Inf
308;500;400;0;0;Inf
309;500;400;0;0;Inf
310;500;400;0;0;Inf
311;500;400;0;0;Inf
312;500;400;0;0;Inf
313;500;400;0;0;Inf
314;500;400;0;0;Inf
315;500;400;0;0;Inf
316;500;400;0;0;Inf
317;500;400;0;0;Inf
318;500;400;0;0;Inf
319;500;400;0;0;Inf
320;500;400;0;0;Inf
321;500;400;0;0;Inf
322;500;400;0;0;Inf
323;500;400;0;0;Inf
324;500;400;0;0;Inf
325;500;400;0;0;Inf
326;500;400;0;0;Inf
327;500;400;0;0;Inf
328;500;400;0;0;Inf
329;500;400;0;0;Inf
330;500;400;0;0;Inf
331;500;400;0;0;Inf
332;500;400;0;0;Inf
333;500;400;0;0;Inf
334;500;400;0;0;Inf
335;500;400;0;0;Inf
336;500;400;0;0;Inf
337;500;400;0;0;Inf
338;500;400;0;0;Inf
339;500;400;0;0;Inf
340;500;400;0;0;Inf
341;500;400;0;0;Inf
342;500;400;0;0;Inf
343;500;400;0;0;Inf
344;500;400;0;0;Inf
345;500;400;0;0;Inf
346;500;400;0;0;Inf
347;500;400;0;0;Inf
348;500;400;0;0;Inf
349;500;400;0;0;Inf
350;500;400;0;0;Inf
351;500;400;0;0;Inf
352;500;400;0;0;Inf
353;500;400;0;0;Inf
354;500;400;0;0;Inf
355;500;400;0;0;Inf
356;500;400;0;0;Inf
357;500;400;0;0;Inf
358;500;400;0;0;Inf
359;500;400;0;0;Inf
360;500;400;0;0;Inf
361;500;400;0;0;Inf
362;500;400;0;0;Inf
363;500;400;0;0;Inf
364;500;400;0;0;Inf
365;500;400;0;0;Inf
366;500;400;0;0;Inf
367;500;400;0;0;Inf
368;500;400;0;0;Inf
369;500;400;0;0;Inf
370;500;400;0;0;Inf
371;500;400;0;0;Inf
372;500;400;0;0;Inf
373;500;400;0;0;Inf
374;500;400;0;0;Inf
375;500;400;0;0;Inf
376;500;400;0;0;Inf
377;500;400;0;0;Inf
378;500;400;0;0;Inf
379;500;400;0;0;Inf
380;500;400;0;0;Inf
381;500;400;0;0;Inf
382;500;400;0;0;Inf
